Video_name,Caption,Gloss,Video_path
bogKkRUG2nzQU6WXKLbM,,test3,ASLing/DOoc2yhl6HNqHQfeZCamSbeWFbk1/bogKkRUG2nzQU6WXKLbM
qVCUXSNCN1ojaow3QiKu,Are you going to her party tonight?,,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/qVCUXSNCN1ojaow3QiKu
09lUqwASoHjOqCqrTICO,You can ask me for anything.,YOU can ASK ME ANYTHING,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/09lUqwASoHjOqCqrTICO
asdT0h3zkx7o7F1SuLnn,I hope I’ll have a son one day,ONE DAY ME HOPE HAVE SON,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/asdT0h3zkx7o7F1SuLnn
L0GQEk6dsFGjzW7WGOvj,Just a few more errands and I'm done!,FEW MORE DO ME finish,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/L0GQEk6dsFGjzW7WGOvj
dXjQNWx1PxUc9SREfkax,Let’s go inside my car,GO INSIDE MY fs-CAR,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/dXjQNWx1PxUc9SREfkax
p4HkTEzml4bTD5qaqB0V,That woman looks so polished,that woman clean look,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/p4HkTEzml4bTD5qaqB0V
BDjQX6TpP351CdDIrFi3,I’ve always been a diligent student.,ME ALWAYS BEEN #DILIGENT STUDENT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/BDjQX6TpP351CdDIrFi3
AX8xmS9Vs5ywYGnbG6GK,Watch your step,watch your step,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/AX8xmS9Vs5ywYGnbG6GK
WX4BbATGfdo1HL9vmDtX,Will you be able to send me your report today?,WILL YOU can SEND ME YOUR REPORT TODAY,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/WX4BbATGfdo1HL9vmDtX
e8VbhRoDQIrz3MBTHsAG,I’m scared to check what’s behind that door.,ME SCARE CHECK BEHIND DOOR,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/e8VbhRoDQIrz3MBTHsAG
5L7xSfK3fUvsmqV5RawI,i have a million questions about this book.,ME HAVE MILLION QUESTION ABOUT THIS BOOK,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/5L7xSfK3fUvsmqV5RawI
XxyyrIBcdJ14Ngi3NFbP,Let’s play a game.,LET US PLAY GAME,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/XxyyrIBcdJ14Ngi3NFbP
Wj0ydYgZjA5xFBnJU1OD,"Whether in big or small groups, I always feel a little shy at first",big small group whatever start me feel shy,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Wj0ydYgZjA5xFBnJU1OD
srwMPU9aiadctqhyAnCa,You both need to change into your sleep clothes now.,"CHANGE SLEEP CLOTHES IX-ONE-p:2,3 BOTH NEED NOW",ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/srwMPU9aiadctqhyAnCa
fvMoualystt7EsDIQLn1,There are so many things I want to learn,a-lot learn want,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/fvMoualystt7EsDIQLn1
MpYtsOdM8PfwuerSBwB7,Their society is holding a fund raiser.,POSS-p:2 SOCIETY HOST FUNDRAISER,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/MpYtsOdM8PfwuerSBwB7
qSJBPA93EQYUQNDSEGLG,Describe yourself in one word,describe yourself one word,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/qSJBPA93EQYUQNDSEGLG
